project_id,project_name,city,province,sector,contractor,project_value_cad,start_date,end_date,status,workers_on_site,safety_incidents,delay_days,inspector_name,approved
AB-2022-0106,Depot C106,Lethbridge,Alberta,Commercial,PCL Construction,23838564.61,2022-02-19,2022-01-27,Completed,142,5,113,R. Sharma,No
AB-2021-0113,Plaza J113,Fort McMurray,Alberta,Commercial,Fluor Canada,25373009.84,2023-09-17,2023-07-08,On Hold,241,5,48,D. Kowalski,yes
AB-2021-0121,Highway R121,Edmonton,Alberta,Infrastructure,Ledcor Group,38291677.86,2020-04-19,2020-12-27,Completed,149,6,138,A. Mehta,y
AB-2021-0017,Pipeline R17,Red Deer,Alberta,Industrial,ATCO,5167543.54,2021-09-02,2022-10-18,In Progress,,12,10,A. Mehta,No
AB-2021-0025,Depot Z25,Red Deer,Alberta,Industrial,Fluor Canada,11238702.23,2022-09-16,2024-04-09,Completed,74,8,38,M. Al-Farsi,y
AB-2023-0023,Plaza X23,Fort McMurray,Alberta,Commercial,Bird Construction,2222685.26,2023-10-28,2023-08-14,Completed,183,6,167,D. Kowalski,Yes
AB-2023-0143,Depot N143,Edmonton,Alberta,Commercial,Bird Construction,20111249.42,2020-12-11,2020-07-23,Completed,27,1,94,S. Benson,Yes
AB-2021-0117,Overpass N117,Red Deer,Alberta,Commercial,Fluor Canada,40037999.16,2020-09-02,2020-11-02,Cancelled,166,11,55,,YES
AB-2023-0099,Plaza V99,Lethbridge,Alberta,Infrastructure,EllisDon,43785041.65,2022-05-23,2022-12-23,Cancelled,244,11,31,,y
AB-2020-0144,Facility O144,Red Deer,Alberta,Commercial,PCL Construction,530092.18,2021-08-12,2023-04-21,Cancelled,118,1,35,R. Sharma,y
AB-2022-0138,Tower I138,Red Deer,Alberta,Commercial,Bird Construction,25717834.36,2022-10-18,2022-06-23,Completed,224,10,34,,Yes
AB-2022-0130,Plaza A130,Lethbridge,Alberta,Industrial,Stantec,34789549.13,2021-06-01,2022-02-10,Completed,245,5,116,M. Al-Farsi,
AB-2020-0188,Highway G188,Edmonton,Alberta,Industrial,Fluor Canada,24695614.96,2023-12-05,2023-12-22,On Hold,30,4,179,T. Leblanc,y
AB-2020-0060,Plaza I60,Medicine Hat,Alberta,Industrial,Bird Construction,37259752.23,2023-07-24,2023-06-14,On Hold,44,7,,R. Sharma,Yes
