project_id,city,zone,sector,contractor,project_value_cad,workers_on_site,safety_incidents,near_misses,lost_time_incidents,delay_days,project_duration_days,approved,project_type,season_started,incident_rate,near_miss_rate
AB-2020-0001,Fort McMurray,Northern,Infrastructure,Bird Construction,12176577.05,149.5,9.0,15.0,8,156,273,No,Decommission,Winter,6.02,10.03
AB-2021-0002,Red Deer,Central,Commercial,ATCO,9307126.51,169.0,3.0,2.0,2,136,510,No,Renovation,Spring,1.78,1.18
AB-2022-0003,Blackfalds,Central,Oil & Gas,PCL Construction,5172259.03,113.0,10.0,2.0,1,147,502,Yes,Decommission,Winter,8.85,1.77
AB-2019-0005,Medicine Hat,Southern,Residential,EllisDon,49284232.73,149.5,15.0,1.0,15,177,700,Yes,Renovation,Summer,10.03,0.67
AB-2020-0006,Grande Prairie,Northern,Industrial,Ledcor Group,3297472.85,251.0,4.0,0.0,0,61,120,Yes,New Build,Fall,1.59,0.0
AB-2021-0007,Lethbridge,Southern,Infrastructure,Bird Construction,38642032.77,49.0,5.0,5.0,1,6,81,No,Decommission,Fall,10.2,10.2
AB-2022-0008,Medicine Hat,Southern,Industrial,EllisDon,29993572.44,149.5,15.0,19.0,13,75,583,Yes,Expansion,Fall,10.03,12.71
AB-2023-0009,Calgary,Southern,Residential,Graham Construction,639330.51,60.0,6.0,2.0,6,108,199,Yes,Maintenance,Summer,10.0,3.33
AB-2019-0010,Medicine Hat,Southern,Commercial,ATCO,42303160.7,150.0,2.0,16.0,1,80,228,Yes,Expansion,Fall,1.33,10.67
AB-2020-0011,Medicine Hat,Southern,Oil & Gas,ATCO,48465146.65,135.0,12.0,17.0,11,168,346,Yes,Expansion,Winter,8.89,12.59
AB-2021-0012,Calgary,Southern,Commercial,Ledcor Group,26479906.71,66.0,4.0,8.0,1,167,381,Yes,Decommission,Fall,6.06,12.12
AB-2022-0013,Blackfalds,Central,Oil & Gas,Ledcor Group,2548453.87,149.5,15.0,12.0,2,110,34,Yes,New Build,Fall,10.03,8.03
AB-2023-0014,Fort McMurray,Northern,Oil & Gas,EllisDon,31731969.17,94.0,2.0,2.0,0,140,427,Yes,Renovation,Fall,2.13,2.13
AB-2019-0015,Grande Prairie,Northern,Industrial,Bird Construction,9656502.75,300.0,13.0,18.0,6,188,705,No,Maintenance,Winter,4.33,6.0
AB-2020-0016,Fort McMurray,Northern,Infrastructure,Stantec,48251219.63,224.0,6.0,16.0,4,90,688,No,Expansion,Summer,2.68,7.14
AB-2021-0017,Red Deer,Central,Infrastructure,Fluor Canada,14763227.39,149.5,7.0,3.0,7,150,728,Yes,Expansion,Summer,4.68,2.01
