project_id,city,zone,sector,contractor,project_value_cad,workers_on_site,safety_incidents,near_misses,lost_time_incidents,delay_days,project_duration_days,approved,project_type,season_started
AB-2020-0001,Fort McMurray,Northern,Infrastructure,Bird Construction,12176577.05,,9,15,8,156,273,No,Decommission,Winter
AB-2021-0002,Red Deer,Central,Commercial,ATCO,9307126.51,169,3,2,2,136,510,No,Renovation,Spring
AB-2022-0003,Blackfalds,Central,Oil & Gas,PCL Construction,5172259.03,113,10,2,1,147,502,Yes,Decommission,Winter
AB-2023-0004,Edmonton,Central,Infrastructure,Ledcor Group,41443734.62,211,,7,7,103,171,Yes,New Build,Winter
AB-2019-0005,Medicine Hat,Southern,Residential,EllisDon,49284232.73,,15,1,15,177,700,Yes,Renovation,Summer
AB-2020-0006,Grande Prairie,Northern,Industrial,Ledcor Group,3297472.85,251,4,0,0,61,120,Yes,New Build,Fall
AB-2021-0007,Lethbridge,Southern,Infrastructure,Bird Construction,38642032.77,49,5,5,1,6,81,No,Decommission,Fall
AB-2022-0008,Medicine Hat,Southern,Industrial,EllisDon,29993572.44,,15,19,13,75,583,Yes,Expansion,Fall
AB-2023-0009,Calgary,Southern,Residential,Graham Construction,639330.51,60,6,2,6,108,199,Yes,Maintenance,Summer
AB-2019-0010,Medicine Hat,Southern,Commercial,ATCO,42303160.7,150,2,16,1,80,228,Yes,Expansion,Fall
AB-2020-0011,Medicine Hat,Southern,Oil & Gas,ATCO,48465146.65,135,12,17,11,168,346,Yes,Expansion,Winter
AB-2021-0012,Calgary,Southern,Commercial,Ledcor Group,26479906.71,66,4,8,1,167,381,Yes,Decommission,Fall
AB-2022-0013,Blackfalds,Central,Oil & Gas,Ledcor Group,2548453.87,,15,12,2,110,34,Yes,New Build,Fall
AB-2023-0014,Fort McMurray,Northern,Oil & Gas,EllisDon,31731969.17,94,2,2,0,140,427,Yes,Renovation,Fall
AB-2019-0015,Grande Prairie,Northern,Industrial,Bird Construction,9656502.75,300,13,18,6,188,705,No,Maintenance,Winter
AB-2020-0016,Fort McMurray,Northern,Infrastructure,Stantec,48251219.63,224,6,16,4,90,688,No,Expansion,Summer
AB-2021-0017,Red Deer,Central,Infrastructure,Fluor Canada,14763227.39,,7,3,7,150,728,Yes,Expansion,Summer
AB-2022-0018,Medicine Hat,Southern,Industrial,ATCO,34624548.66,57,14,17,5,121,531,Yes,Renovation,Fall
AB-2023-0019,Fort McMurray,Northern,Residential,EllisDon,47350902.48,229,14,18,0,147,108,Yes,Expansion,Summer
AB-2019-0020,Grande Prairie,Northern,Infrastructure,Graham Construction,6333221.09,78,5,1,3,147,331,Yes,Expansion,Winter
