project_id,project_name,city,province,sector,contractor,project_value_cad,start_date,end_date,status,workers_on_site,safety_incidents,delay_days,inspector_name,approved
AB-2022-0106,Depot C106,Lethbridge,Alberta,Commercial,PCL Construction,23838564.61,2022-02-19,2022-01-27,Completed,142.0,5.0,113.0,R. Sharma,No
AB-2021-0113,Plaza J113,Fort McMurray,Alberta,Commercial,Fluor Canada,25373009.84,2023-09-17,2023-07-08,On Hold,241.0,5.0,48.0,D. Kowalski,Yes
AB-2021-0121,Highway R121,Edmonton,Alberta,Infrastructure,Ledcor Group,38291677.86,2020-04-19,2020-12-27,Completed,149.0,6.0,138.0,A. Mehta,Yes
AB-2021-0017,Pipeline R17,Red Deer,Alberta,Industrial,ATCO,5167543.54,2021-09-02,2022-10-18,In Progress,127.5,12.0,10.0,A. Mehta,No
AB-2021-0025,Depot Z25,Red Deer,Alberta,Industrial,Fluor Canada,11238702.23,2022-09-16,2024-04-09,Completed,74.0,8.0,38.0,M. Al-Farsi,Yes
AB-2023-0023,Plaza X23,Fort McMurray,Alberta,Commercial,Bird Construction,2222685.26,2023-10-28,2023-08-14,Completed,183.0,6.0,167.0,D. Kowalski,Yes
AB-2023-0143,Depot N143,Edmonton,Alberta,Commercial,Bird Construction,20111249.42,2020-12-11,2020-07-23,Completed,27.0,1.0,94.0,S. Benson,Yes
AB-2021-0117,Overpass N117,Red Deer,Alberta,Commercial,Fluor Canada,40037999.16,2020-09-02,2020-11-02,Cancelled,166.0,11.0,55.0,,Yes
AB-2023-0099,Plaza V99,Lethbridge,Alberta,Infrastructure,EllisDon,43785041.65,2022-05-23,2022-12-23,Cancelled,244.0,11.0,31.0,,Yes
AB-2020-0144,Facility O144,Red Deer,Alberta,Commercial,PCL Construction,530092.18,2021-08-12,2023-04-21,Cancelled,118.0,1.0,35.0,R. Sharma,Yes
AB-2022-0138,Tower I138,Red Deer,Alberta,Commercial,Bird Construction,25717834.36,2022-10-18,2022-06-23,Completed,224.0,10.0,34.0,,Yes
AB-2022-0130,Plaza A130,Lethbridge,Alberta,Industrial,Stantec,34789549.13,2021-06-01,2022-02-10,Completed,245.0,5.0,116.0,M. Al-Farsi,
AB-2020-0188,Highway G188,Edmonton,Alberta,Industrial,Fluor Canada,24695614.96,2023-12-05,2023-12-22,On Hold,30.0,4.0,179.0,T. Leblanc,Yes
AB-2020-0060,Plaza I60,Medicine Hat,Alberta,Industrial,Bird Construction,37259752.23,2023-07-24,2023-06-14,On Hold,44.0,7.0,,R. Sharma,Yes
AB-2021-0185,Facility D185,Medicine Hat,Alberta,Industrial,Fluor Canada,1841980.53,2021-12-12,2021-06-25,In Progress,127.5,0.0,57.0,A. Mehta,Yes
AB-2023-0103,Overpass Z103,Fort McMurray,Alberta,Industrial,Fluor Canada,6168867.58,2023-05-07,2023-06-06,Completed,52.0,0.0,75.0,M. Al-Farsi,Yes
AB-2023-0087,Plaza J87,Edmonton,Alberta,Commercial,Graham Construction,22306883.89,2022-09-19,2023-08-26,In Progress,27.0,6.0,122.0,,Yes
AB-2020-0148,Bridge S148,Lethbridge,Alberta,Commercial,Stantec,28598096.99,2020-05-23,2021-12-28,In Progress,116.0,9.0,79.0,T. Leblanc,Yes
AB-2023-0059,Facility H59,Edmonton,Alberta,Industrial,Fluor Canada,3773452.91,2021-02-05,2022-10-21,Completed,157.0,7.0,110.0,R. Sharma,Yes
AB-2022-0082,Bridge E82,Grande Prairie,Alberta,Industrial,ATCO,40274491.65,2023-06-06,2024-12-16,In Progress,210.0,6.0,154.0,T. Leblanc,
AB-2020-0180,Pipeline Y180,Fort McMurray,Alberta,Residential,Fluor Canada,44477989.32,2022-05-09,2024-12-21,In Progress,66.0,12.0,153.0,,Yes
AB-2020-0008,Bridge I8,Red Deer,Alberta,Commercial,Fluor Canada,7555944.11,2023-04-18,2025-12-07,Cancelled,171.0,8.0,63.0,M. Al-Farsi,Yes
AB-2022-0062,Plaza K62,Red Deer,Alberta,Industrial,Bird Construction,15852612.64,2022-02-25,2023-10-08,In Progress,201.0,9.0,142.0,D. Kowalski,Yes
AB-2021-0089,Overpass L89,Lethbridge,Alberta,Infrastructure,EllisDon,11389648.11,2022-03-21,,Completed,246.0,2.0,154.0,A. Mehta,Yes
AB-2022-0018,Plaza S18,Edmonton,Alberta,Infrastructure,ATCO,33764070.86,2021-03-26,2021-07-01,On Hold,110.0,11.0,68.0,T. Leblanc,Yes
AB-2023-0191,Highway J191,Fort McMurray,Alberta,Infrastructure,Stantec,5348162.26,2020-01-28,2020-11-21,On Hold,249.0,11.0,87.0,T. Leblanc,Yes
AB-2022-0026,Tower A26,Lethbridge,Alberta,Residential,ATCO,24486109.65,2023-01-07,2024-07-25,Completed,127.5,9.0,1.0,A. Mehta,Yes
AB-2020-0036,Highway K36,Fort McMurray,Alberta,Industrial,Fluor Canada,8418710.62,2020-05-28,,Cancelled,127.5,0.0,144.0,S. Benson,Yes
AB-2021-0057,Highway F57,Fort McMurray,Alberta,Commercial,Graham Construction,35963344.99,2020-11-28,2020-03-01,In Progress,87.0,0.0,32.0,,
AB-2020-0056,Bridge E56,Blackfalds,Alberta,Residential,Bird Construction,26931996.28,2020-01-26,2021-04-05,In Progress,127.5,3.0,59.0,A. Mehta,Yes
AB-2020-0064,Overpass M64,Fort McMurray,Alberta,Infrastructure,PCL Construction,7127758.67,2020-11-03,2021-08-22,Completed,74.0,8.0,110.0,R. Sharma,Yes
AB-2022-0022,Pipeline W22,Medicine Hat,Alberta,Oil & Gas,Ledcor Group,9576693.42,2022-08-15,2023-11-07,In Progress,208.0,10.0,131.0,A. Mehta,Yes
AB-2022-0030,Bridge E30,Calgary,Alberta,Infrastructure,ATCO,32218409.52,2020-10-23,2022-04-04,On Hold,158.0,12.0,10.0,A. Mehta,
AB-2020-0156,Tower A156,Blackfalds,Alberta,Industrial,Stantec,24186216.03,2021-08-10,2022-05-28,In Progress,82.0,11.0,55.0,A. Mehta,Yes
AB-2022-0150,Bridge U150,Blackfalds,Alberta,Industrial,Stantec,38692286.25,2021-06-06,2022-02-19,Completed,135.0,0.0,3.0,M. Al-Farsi,Yes
AB-2020-0088,Bridge K88,Red Deer,Alberta,Infrastructure,PCL Construction,30652888.23,2022-03-27,2024-11-19,In Progress,238.0,1.0,77.0,T. Leblanc,Yes
AB-2021-0181,Tower Z181,Calgary,Alberta,Industrial,EllisDon,18922671.02,2023-12-02,2025-12-19,On Hold,61.0,10.0,171.0,A. Mehta,
AB-2021-0153,Depot X153,Lethbridge,Alberta,Oil & Gas,Bird Construction,41968029.33,2020-04-18,2021-11-27,Completed,5.0,6.0,78.0,R. Sharma,No
AB-2020-0044,Pipeline S44,Fort McMurray,Alberta,Industrial,Fluor Canada,11081331.14,2021-07-07,2023-09-24,In Progress,127.5,6.0,129.0,S. Benson,Yes
AB-2023-0055,Facility D55,Edmonton,Alberta,Industrial,ATCO,12696345.28,2022-04-15,2023-04-28,Completed,235.0,5.0,,S. Benson,No
AB-2022-0090,Highway M90,Edmonton,Alberta,Residential,EllisDon,34548111.19,2023-10-21,2023-08-21,Completed,128.0,12.0,76.0,,Yes
AB-2022-0182,Pipeline A182,Red Deer,Alberta,Oil & Gas,Graham Construction,21264522.14,2022-12-26,2024-03-22,Completed,95.0,4.0,84.0,A. Mehta,Yes
AB-2023-0075,Depot X75,Lethbridge,Alberta,Infrastructure,Fluor Canada,12787462.21,2023-09-17,2024-03-27,Completed,69.0,0.0,95.0,R. Sharma,
AB-2021-0093,Depot P93,Calgary,Alberta,Residential,ATCO,43505895.38,2021-10-12,2021-01-10,In Progress,125.0,0.0,110.0,T. Leblanc,Yes
AB-2020-0128,Pipeline Y128,Edmonton,Alberta,Industrial,Fluor Canada,13732044.02,2022-11-05,2024-07-26,Cancelled,127.0,8.0,177.0,,
AB-2021-0005,Facility F5,Blackfalds,Alberta,Commercial,EllisDon,33562755.85,2022-12-19,2023-10-13,In Progress,28.0,1.0,40.0,,Yes
AB-2020-0112,Pipeline I112,Fort McMurray,Alberta,Residential,Graham Construction,19309946.12,2023-01-12,2025-11-13,On Hold,109.0,6.0,137.0,,No
AB-2021-0001,Bridge B1,Calgary,Alberta,Infrastructure,Bird Construction,33180733.96,2020-10-14,2020-01-03,Completed,148.0,10.0,107.0,M. Al-Farsi,No
AB-2023-0127,Tower X127,Medicine Hat,Alberta,Infrastructure,EllisDon,28535675.42,2021-06-13,2022-07-12,Completed,144.0,12.0,118.0,M. Al-Farsi,No
AB-2023-0035,Plaza J35,Blackfalds,Alberta,Infrastructure,EllisDon,37493382.1,2022-04-12,2022-05-01,In Progress,18.0,11.0,163.0,,Yes
AB-2021-0073,Overpass V73,Calgary,Alberta,Infrastructure,EllisDon,9756540.86,2023-04-08,2023-03-03,In Progress,202.0,11.0,9.0,A. Mehta,Yes
AB-2023-0171,Overpass P171,Medicine Hat,Alberta,Oil & Gas,Bird Construction,37859752.91,2023-09-22,2024-10-08,Completed,223.0,8.0,132.0,T. Leblanc,Yes
AB-2023-0139,Pipeline J139,Red Deer,Alberta,Commercial,Bird Construction,14596037.52,2021-11-13,2022-03-19,Completed,120.0,12.0,23.0,,
